fedora_(hat),2167
ferris_wheel,378
ferry,13
fighter_jet,441
figurine,1597
file_cabinet,164
fire_alarm,908
fire_engine,168
fire_extinguisher,2293
fire_hose,68
fire_hydrant,8800
fireplace,3541
fish,9579
fish_(food),119
fishbowl,27
fishing_rod,103
flag,49844
flagpole,973
flamingo,393
flap,230
flashlight,58
flip_flop_(sandal),1513
flipper_(footwear),153
flower,76853
flower_arrangement,49964
flowerpot,51963
flute_(musical_instrument),82
flute_glass,937
folding_chair,1491
food,79585
food_processor,23
football,1569
football_helmet,1308
footstool,3
footwear,170690
fork,4005
forklift,45
fountain,1943
fox,96
freight_car,18
frisbee,18668
frog,317
fruit,25320
frying_pan,575
fume_hood,434
furniture,298526
gameboard,14
garden_hose,48
gargle,19
gargoyle,4
garlic,144
gas_stove,106
gasmask,13
gazelle,79
gelatin,18
gift_wrap,561
ginger,8
giraffe,1988
girl,30407
glass_(drink_container),39635
glasses,179153
globe,429
glove,46014
goat,720
goggles,17560
goldfish,303
golf_ball,46
golf_club,30
golfcart,160
gondola_(boat),187
goose,1678
gourd,27
grape,274
grapefruit,12
grater,40
gravestone,1775
green_bean,44
green_onion,132
grill,1919
grizzly,7
guacamole,9
guitar_(musical_instrument),54149
gull,1169
gun,1283
hair_curler,11
hair_dryer,7843
hairbrush,2109
ham,94
hamburger,94
hammer,31
hamper,4
hamster,30
hand_dryer,11
hand_towel,29
handbag,76668
handcart,752
handgun,243
handkerchief,6221
handle,24726
harbor_seal,157
harp_(musical_instrument),223
hat,88277
headband,12233
headboard,1511
headlight,10430
headphones,2790
headscarf,2044
headstall_(for_horses),29
heart,831
heater,123
hedgehog,21
helicopter,3597
helmet,58918
heron_(bird),1
high_heels,984
highchair,156
hiking_equipment,2230
hinge,15241
hippopotamus,125
home_appliance,34736
home_plate_(baseball),56
honey,5
honeycomb,306
hook,914
horn_(musical_instrument),59
horse,19055
horse_buggy,1
horse_carriage,27
hose,1314
hot_dog,1768
house,49173
houseboat,17
houseplant,5921
human_arm,1450
human_beard,1714
human_ear,4392
human_eye,4509
human_face,898300
human_foot,1259
human_hair,2335
human_hand,34860
human_head,1785
human_leg,1922
human_mouth,4150
human_nose,5322
hummingbird,114
ice_cream,167
ice_maker,13
identity_card,1
igniter,144
inhaler,2
inkpad,1
insect,5566
invertebrate,11210
ipod,209
iron_(for_clothing),43
isopod,2
jacket,36585
jacuzzi,3
jaguar,43
jar,29350
jeans,26820
jellyfish,2367
jersey,19390
jet_plane,15
jewelry,176216
jug,143
juice,713
kangaroo,57
kayak,845
kettle,277
key,140
kilt,44
kimono,286
kitchen_&_dining_room_table,256
kitchen_appliance,29665
kitchen_knife,38
kitchen_sink,318
kitchen_utensil,27594
kitchenware,114292
kite,63693
kiwi_fruit,68
knee_pad,5474
knife,15554
knitting_needle,6
knob,8151
knocker_(on_a_door),2
koala,37
ladder,11983
ladle,30
ladybug,164
lamb_(animal),12
lamp,28582
lamppost,380
lampshade,15526
land_vehicle,335226
lantern,2599
lanyard,12320
laptop_computer,52094
latch,531
lavender,242
lawn_mower,24
legging_(clothing),932
lego,617
